m_overallFrameIdentifier,m_tyresWear,m_tyresDamage,m_sessionUID,m_frameIdentifier,m_sessionTime,m_brakesDamage,m_frontLeftWingDamage,m_frontRightWingDamage,m_rearWingDamage,m_floorDamage,m_diffuserDamage,m_sidepodDamage,m_drsFault,m_ersFault,m_gearBoxDamage,m_engineDamage,m_engineMGUHWear,m_engineESWear,m_engineCEWear,m_engineICEWear,m_engineMGUKWear,m_engineTCWear,m_engineBlown,m_engineSeized
155876,"0,0,0,0","0,0,0,0",1978039479526609313,155876,2939.213623046875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155878,"0,0,0,0","0,0,0,0",1978039479526609313,155878,2939.313720703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155880,"0,0,0,0","0,0,0,0",1978039479526609313,155880,2939.413818359375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155882,"0,0,0,0","0,0,0,0",1978039479526609313,155882,2939.513916015625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155884,"0,0,0,0","0,0,0,0",1978039479526609313,155884,2939.614013671875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155886,"0,0,0,0","0,0,0,0",1978039479526609313,155886,2939.714111328125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155888,"0,0,0,0","0,0,0,0",1978039479526609313,155888,2939.814208984375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155890,"0,0,0,0","0,0,0,0",1978039479526609313,155890,2939.914306640625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155892,"0,0,0,0","0,0,0,0",1978039479526609313,155892,2940.014404296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155894,"0,0,0,0","0,0,0,0",1978039479526609313,155894,2940.114501953125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155896,"0,0,0,0","0,0,0,0",1978039479526609313,155896,2940.214599609375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155898,"0,0,0,0","0,0,0,0",1978039479526609313,155898,2940.314697265625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155900,"0,0,0,0","0,0,0,0",1978039479526609313,155900,2940.414794921875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155902,"0,0,0,0","0,0,0,0",1978039479526609313,155902,2940.514892578125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155904,"0,0,0,0","0,0,0,0",1978039479526609313,155904,2940.614990234375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155906,"0,0,0,0","0,0,0,0",1978039479526609313,155906,2940.715087890625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155908,"0,0,0,0","0,0,0,0",1978039479526609313,155908,2940.815185546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155910,"0,0,0,0","0,0,0,0",1978039479526609313,155910,2940.915283203125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155912,"0,0,0,0","0,0,0,0",1978039479526609313,155912,2941.015380859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155914,"0,0,0,0","0,0,0,0",1978039479526609313,155914,2941.115478515625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155916,"0,0,0,0","0,0,0,0",1978039479526609313,155916,2941.216064453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155918,"0,0,0,0","0,0,0,0",1978039479526609313,155918,2941.315673828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155920,"0,0,0,0","0,0,0,0",1978039479526609313,155920,2941.415771484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155922,"0,0,0,0","0,0,0,0",1978039479526609313,155922,2941.515869140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155924,"0,0,0,0","0,0,0,0",1978039479526609313,155924,2941.615966796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155926,"0,0,0,0","0,0,0,0",1978039479526609313,155926,2941.716064453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155928,"0,0,0,0","0,0,0,0",1978039479526609313,155928,2941.816162109375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155930,"0,0,0,0","0,0,0,0",1978039479526609313,155930,2941.916259765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155932,"0,0,0,0","0,0,0,0",1978039479526609313,155932,2942.016357421875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155934,"0,0,0,0","0,0,0,0",1978039479526609313,155934,2942.116455078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155936,"0,0,0,0","0,0,0,0",1978039479526609313,155936,2942.216552734375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155938,"0,0,0,0","0,0,0,0",1978039479526609313,155938,2942.316650390625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155940,"0,0,0,0","0,0,0,0",1978039479526609313,155940,2942.416748046875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155942,"0,0,0,0","0,0,0,0",1978039479526609313,155942,2942.516845703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155944,"0,0,0,0","0,0,0,0",1978039479526609313,155944,2942.616943359375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155946,"0,0,0,0","0,0,0,0",1978039479526609313,155946,2942.717041015625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155948,"0,0,0,0","0,0,0,0",1978039479526609313,155948,2942.8173828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155950,"0,0,0,0","0,0,0,0",1978039479526609313,155950,2942.917236328125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155952,"0,0,0,0","0,0,0,0",1978039479526609313,155952,2943.017333984375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155954,"0,0,0,0","0,0,0,0",1978039479526609313,155954,2943.117431640625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155956,"0,0,0,0","0,0,0,0",1978039479526609313,155956,2943.217529296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155958,"0,0,0,0","0,0,0,0",1978039479526609313,155958,2943.317626953125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155960,"0,0,0,0","0,0,0,0",1978039479526609313,155960,2943.41796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155962,"0,0,0,0","0,0,0,0",1978039479526609313,155962,2943.517822265625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155964,"0,0,0,0","0,0,0,0",1978039479526609313,155964,2943.617919921875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155966,"0,0,0,0","0,0,0,0",1978039479526609313,155966,2943.718017578125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155968,"0,0,0,0","0,0,0,0",1978039479526609313,155968,2943.818115234375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155970,"0,0,0,0","0,0,0,0",1978039479526609313,155970,2943.918212890625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155972,"0,0,0,0","0,0,0,0",1978039479526609313,155972,2944.018310546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155974,"0,0,0,0","0,0,0,0",1978039479526609313,155974,2944.118408203125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155976,"0,0,0,0","0,0,0,0",1978039479526609313,155976,2944.218505859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155978,"0,0,0,0","0,0,0,0",1978039479526609313,155978,2944.318603515625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155980,"0,0,0,0","0,0,0,0",1978039479526609313,155980,2944.418701171875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155982,"0,0,0,0","0,0,0,0",1978039479526609313,155982,2944.518798828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155984,"0,0,0,0","0,0,0,0",1978039479526609313,155984,2944.618896484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155986,"0,0,0,0","0,0,0,0",1978039479526609313,155986,2944.718994140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155988,"0,0,0,0","0,0,0,0",1978039479526609313,155988,2944.819091796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155990,"0,0,0,0","0,0,0,0",1978039479526609313,155990,2944.919189453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155992,"0,0,0,0","0,0,0,0",1978039479526609313,155992,2945.019287109375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155994,"0,0,0,0","0,0,0,0",1978039479526609313,155994,2945.119384765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155996,"0,0,0,0","0,0,0,0",1978039479526609313,155996,2945.219482421875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155998,"0,0,0,0","0,0,0,0",1978039479526609313,155998,2945.319580078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156000,"0,0,0,0","0,0,0,0",1978039479526609313,156000,2945.419677734375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156002,"0,0,0,0","0,0,0,0",1978039479526609313,156002,2945.519775390625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156004,"0,0,0,0","0,0,0,0",1978039479526609313,156004,2945.619873046875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156006,"0,0,0,0","0,0,0,0",1978039479526609313,156006,2945.719970703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156008,"0,0,0,0","0,0,0,0",1978039479526609313,156008,2945.820068359375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156010,"0,0,0,0","0,0,0,0",1978039479526609313,156010,2945.920166015625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156012,"0,0,0,0","0,0,0,0",1978039479526609313,156012,2946.020263671875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156014,"0,0,0,0","0,0,0,0",1978039479526609313,156014,2946.120361328125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156016,"0,0,0,0","0,0,0,0",1978039479526609313,156016,2946.220458984375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156018,"0,0,0,0","0,0,0,0",1978039479526609313,156018,2946.32080078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156020,"0,0,0,0","0,0,0,0",1978039479526609313,156020,2946.420654296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156022,"0,0,0,0","0,0,0,0",1978039479526609313,156022,2946.520751953125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156024,"0,0,0,0","0,0,0,0",1978039479526609313,156024,2946.620849609375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156026,"0,0,0,0","0,0,0,0",1978039479526609313,156026,2946.720947265625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156030,"0,0,0,0","0,0,0,0",1978039479526609313,156030,2946.921142578125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156032,"0,0,0,0","0,0,0,0",1978039479526609313,156032,2947.021240234375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156034,"0,0,0,0","0,0,0,0",1978039479526609313,156034,2947.121337890625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156036,"0,0,0,0","0,0,0,0",1978039479526609313,156036,2947.221435546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156038,"0,0,0,0","0,0,0,0",1978039479526609313,156038,2947.321533203125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156040,"0,0,0,0","0,0,0,0",1978039479526609313,156040,2947.421630859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156042,"0,0,0,0","0,0,0,0",1978039479526609313,156042,2947.521728515625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156044,"0,0,0,0","0,0,0,0",1978039479526609313,156044,2947.621826171875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156046,"0,0,0,0","0,0,0,0",1978039479526609313,156046,2947.721923828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156048,"0,0,0,0","0,0,0,0",1978039479526609313,156048,2947.822021484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156050,"0,0,0,0","0,0,0,0",1978039479526609313,156050,2947.922119140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156052,"0,0,0,0","0,0,0,0",1978039479526609313,156052,2948.005615234375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156054,"0,0,0,0","0,0,0,0",1978039479526609313,156054,2948.122802734375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156056,"0,0,0,0","0,0,0,0",1978039479526609313,156056,2948.205810546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156058,"0,0,0,0","0,0,0,0",1978039479526609313,156058,2948.322509765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156060,"0,0,0,0","0,0,0,0",1978039479526609313,156060,2948.406005859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156062,"0,0,0,0","0,0,0,0",1978039479526609313,156062,2948.506103515625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156064,"0,0,0,0","0,0,0,0",1978039479526609313,156064,2948.606201171875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156066,"0,0,0,0","0,0,0,0",1978039479526609313,156066,2948.706298828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156068,"0,0,0,0","0,0,0,0",1978039479526609313,156068,2948.806396484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156070,"0,0,0,0","0,0,0,0",1978039479526609313,156070,2948.906494140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156072,"0,0,0,0","0,0,0,0",1978039479526609313,156072,2949.006591796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156074,"0,0,0,0","0,0,0,0",1978039479526609313,156074,2949.106689453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156076,"0,0,0,0","0,0,0,0",1978039479526609313,156076,2949.20654296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156078,"0,0,0,0","0,0,0,0",1978039479526609313,156078,2949.306884765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156080,"0,0,0,0","0,0,0,0",1978039479526609313,156080,2949.406982421875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156082,"0,0,0,0","0,0,0,0",1978039479526609313,156082,2949.507080078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156084,"0,0,0,0","0,0,0,0",1978039479526609313,156084,2949.607177734375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156086,"0,0,0,0","0,0,0,0",1978039479526609313,156086,2949.707275390625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156088,"0,0,0,0","0,0,0,0",1978039479526609313,156088,2949.807373046875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156090,"0,0,0,0","0,0,0,0",1978039479526609313,156090,2949.907470703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156092,"0,0,0,0","0,0,0,0",1978039479526609313,156092,2950.007568359375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156094,"0,0,0,0","0,0,0,0",1978039479526609313,156094,2950.107666015625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156096,"0,0,0,0","0,0,0,0",1978039479526609313,156096,2950.207763671875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156098,"0,0,0,0","0,0,0,0",1978039479526609313,156098,2950.307861328125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156100,"0,0,0,0","0,0,0,0",1978039479526609313,156100,2950.40771484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156102,"0,0,0,0","0,0,0,0",1978039479526609313,156102,2950.508056640625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156104,"0,0,0,0","0,0,0,0",1978039479526609313,156104,2950.608154296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156106,"0,0,0,0","0,0,0,0",1978039479526609313,156106,2950.708251953125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156108,"0,0,0,0","0,0,0,0",1978039479526609313,156108,2950.808349609375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156110,"0,0,0,0","0,0,0,0",1978039479526609313,156110,2950.908447265625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156112,"0,0,0,0","0,0,0,0",1978039479526609313,156112,2951.008544921875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156114,"0,0,0,0","0,0,0,0",1978039479526609313,156114,2951.108642578125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156116,"0,0,0,0","0,0,0,0",1978039479526609313,156116,2951.208740234375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156118,"0,0,0,0","0,0,0,0",1978039479526609313,156118,2951.308837890625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156120,"0,0,0,0","0,0,0,0",1978039479526609313,156120,2951.408935546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156122,"0,0,0,0","0,0,0,0",1978039479526609313,156122,2951.509033203125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156124,"0,0,0,0","0,0,0,0",1978039479526609313,156124,2951.609130859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156126,"0,0,0,0","0,0,0,0",1978039479526609313,156126,2951.709228515625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156128,"0,0,0,0","0,0,0,0",1978039479526609313,156128,2951.809326171875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156130,"0,0,0,0","0,0,0,0",1978039479526609313,156130,2951.909423828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156132,"0,0,0,0","0,0,0,0",1978039479526609313,156132,2952.009521484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156134,"0,0,0,0","0,0,0,0",1978039479526609313,156134,2952.109619140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156136,"0,0,0,0","0,0,0,0",1978039479526609313,156136,2952.209716796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156138,"0,0,0,0","0,0,0,0",1978039479526609313,156138,2952.309814453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156140,"0,0,0,0","0,0,0,0",1978039479526609313,156140,2952.409912109375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156142,"0,0,0,0","0,0,0,0",1978039479526609313,156142,2952.510009765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156144,"0,0,0,0","0,0,0,0",1978039479526609313,156144,2952.610107421875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156146,"0,0,0,0","0,0,0,0",1978039479526609313,156146,2952.710205078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
