m_overallFrameIdentifier,m_tyresWear,m_tyresDamage,m_sessionUID,m_frameIdentifier,m_sessionTime,m_brakesDamage,m_frontLeftWingDamage,m_frontRightWingDamage,m_rearWingDamage,m_floorDamage,m_diffuserDamage,m_sidepodDamage,m_drsFault,m_ersFault,m_gearBoxDamage,m_engineDamage,m_engineMGUHWear,m_engineESWear,m_engineCEWear,m_engineICEWear,m_engineMGUKWear,m_engineTCWear,m_engineBlown,m_engineSeized
155822,"0,0,0,0","0,0,0,0",1978039479526609313,155822,2936.505126953125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155824,"0,0,0,0","0,0,0,0",1978039479526609313,155824,2936.6181640625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155826,"0,0,0,0","0,0,0,0",1978039479526609313,155826,2936.717529296875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155830,"0,0,0,0","0,0,0,0",1978039479526609313,155830,2936.9169921875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155832,"0,0,0,0","0,0,0,0",1978039479526609313,155832,2937.016845703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155834,"0,0,0,0","0,0,0,0",1978039479526609313,155834,2937.11572265625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155836,"0,0,0,0","0,0,0,0",1978039479526609313,155836,2937.214599609375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155838,"0,0,0,0","0,0,0,0",1978039479526609313,155838,2937.313720703125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155840,"0,0,0,0","0,0,0,0",1978039479526609313,155840,2937.414306640625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155842,"0,0,0,0","0,0,0,0",1978039479526609313,155842,2937.512939453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155844,"0,0,0,0","0,0,0,0",1978039479526609313,155844,2937.612060546875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155846,"0,0,0,0","0,0,0,0",1978039479526609313,155846,2937.712158203125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155848,"0,0,0,0","0,0,0,0",1978039479526609313,155848,2937.812255859375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155850,"0,0,0,0","0,0,0,0",1978039479526609313,155850,2937.91259765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155852,"0,0,0,0","0,0,0,0",1978039479526609313,155852,2938.012451171875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155854,"0,0,0,0","0,0,0,0",1978039479526609313,155854,2938.112548828125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155856,"0,0,0,0","0,0,0,0",1978039479526609313,155856,2938.212646484375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155858,"0,0,0,0","0,0,0,0",1978039479526609313,155858,2938.312744140625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155860,"0,0,0,0","0,0,0,0",1978039479526609313,155860,2938.412841796875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155862,"0,0,0,0","0,0,0,0",1978039479526609313,155862,2938.512939453125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155864,"0,0,0,0","0,0,0,0",1978039479526609313,155864,2938.613037109375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155866,"0,0,0,0","0,0,0,0",1978039479526609313,155866,2938.713134765625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155868,"0,0,0,0","0,0,0,0",1978039479526609313,155868,2938.813232421875,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155870,"0,0,0,0","0,0,0,0",1978039479526609313,155870,2938.913330078125,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155872,"0,0,0,0","0,0,0,0",1978039479526609313,155872,2939.013427734375,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155874,"0,0,0,0","0,0,0,0",1978039479526609313,155874,2939.113525390625,"0,0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
