m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
17037,4122411239002253147,17037,301.2562561035156,66219,37451,18383,0,0,0,0,0,2287.208984375,15257.66796875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17038,4122411239002253147,17038,301.27301025390625,66219,37468,18383,0,0,0,0,0,2287.8349609375,15258.2939453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17041,4122411239002253147,17041,301.322998046875,66219,37518,18383,0,0,0,0,0,2289.734375,15260.193359375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17042,4122411239002253147,17042,301.33966064453125,66219,37535,18383,0,0,0,0,0,2290.3759765625,15260.8349609375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17043,4122411239002253147,17043,301.3563537597656,66219,37551,18383,0,0,0,0,0,2291.01953125,15261.478515625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17044,4122411239002253147,17044,301.3730773925781,66219,37568,18383,0,0,0,0,0,2291.671875,15262.130859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17045,4122411239002253147,17045,301.3897399902344,66219,37585,18383,0,0,0,0,0,2292.32421875,15262.783203125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17048,4122411239002253147,17048,301.4398193359375,66219,37635,18383,0,0,0,0,0,2294.302734375,15264.76171875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17049,4122411239002253147,17049,301.4565734863281,66219,37652,18383,0,0,0,0,0,2294.9697265625,15265.4287109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17051,4122411239002253147,17051,301.48980712890625,66219,37685,18383,0,0,0,0,0,2296.306640625,15266.765625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17057,4122411239002253147,17057,301.5899353027344,66219,37785,18383,0,0,0,0,0,2300.400390625,15270.859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17059,4122411239002253147,17059,301.6232604980469,66219,37818,18383,0,0,0,0,0,2301.7900390625,15272.2490234375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17060,4122411239002253147,17060,301.6400146484375,66219,37835,18383,0,0,0,0,0,2302.4912109375,15272.9501953125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17061,4122411239002253147,17061,301.6566162109375,66219,37852,18383,0,0,0,0,0,2303.193359375,15273.65234375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17062,4122411239002253147,17062,301.67333984375,66219,37868,18383,0,0,0,0,0,2303.8984375,15274.357421875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17064,4122411239002253147,17064,301.7066955566406,66219,37902,18383,0,0,0,0,0,2305.3203125,15275.779296875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17066,4122411239002253147,17066,301.7401428222656,66219,37935,18383,0,0,0,0,0,2306.755859375,15277.21484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17067,4122411239002253147,17067,301.7567443847656,66219,37952,18383,0,0,0,0,0,2307.4755859375,15277.9345703125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17068,4122411239002253147,17068,301.7734375,66219,37969,18383,0,0,0,0,0,2308.1982421875,15278.6572265625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17069,4122411239002253147,17069,301.7901306152344,66219,37985,18383,0,0,0,0,0,2308.923828125,15279.3828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17070,4122411239002253147,17070,301.8068542480469,66219,38002,18383,0,0,0,0,0,2309.654296875,15280.11328125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17072,4122411239002253147,17072,301.8401794433594,66219,38035,18383,0,0,0,0,0,2311.119140625,15281.578125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17077,4122411239002253147,17077,301.9235534667969,66219,38119,18383,0,0,0,0,0,2314.826171875,15285.28515625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17078,4122411239002253147,17078,301.94024658203125,66219,38135,18383,0,0,0,0,0,2315.5732421875,15286.0322265625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17079,4122411239002253147,17079,301.9570007324219,66219,38152,18383,0,0,0,0,0,2316.326171875,15286.78515625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17082,4122411239002253147,17082,302.007080078125,66219,38202,18383,0,0,0,0,0,2318.599609375,15289.05859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17085,4122411239002253147,17085,302.0571594238281,66219,38252,18383,0,0,0,0,0,2320.90234375,15291.361328125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17086,4122411239002253147,17086,302.07373046875,66219,38269,18383,0,0,0,0,0,2321.67578125,15292.134765625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17087,4122411239002253147,17087,302.0903625488281,66219,38286,18383,0,0,0,0,0,2322.453125,15292.912109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17088,4122411239002253147,17088,302.1070556640625,66219,38302,18383,0,0,0,0,0,2323.2333984375,15293.6923828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17089,4122411239002253147,17089,302.123779296875,66219,38319,18383,0,0,0,0,0,2324.0185546875,15294.4775390625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17090,4122411239002253147,17090,302.1405029296875,66219,38336,18383,0,0,0,0,0,2324.806640625,15295.265625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17091,4122411239002253147,17091,302.1571350097656,66219,38352,18383,0,0,0,0,0,2325.599609375,15296.05859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17093,4122411239002253147,17093,302.1904602050781,66219,38386,18383,0,0,0,0,0,2327.197265625,15297.65625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17099,4122411239002253147,17099,302.2906494140625,66219,38486,18383,0,0,0,0,0,2332.0927734375,15302.5517578125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17101,4122411239002253147,17101,302.323974609375,66219,38519,18383,0,0,0,0,0,2333.755859375,15304.21484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17102,4122411239002253147,17102,302.3407287597656,66219,38536,18383,0,0,0,0,0,2334.595703125,15305.0546875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17103,4122411239002253147,17103,302.3572998046875,66219,38552,18383,0,0,0,0,0,2335.4375,15305.896484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17104,4122411239002253147,17104,302.3740234375,66219,38569,18383,0,0,0,0,0,2336.283203125,15306.7421875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17106,4122411239002253147,17106,302.407470703125,66219,38602,18383,0,0,0,0,0,2337.9931640625,15308.4521484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17109,4122411239002253147,17109,302.4573974609375,66219,38653,18383,0,0,0,0,0,2340.578125,15311.037109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17111,4122411239002253147,17111,302.4908447265625,66219,38686,18383,0,0,0,0,0,2342.31640625,15312.775390625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17115,4122411239002253147,17115,302.5576171875,66219,38753,18383,0,0,0,0,0,2345.826171875,15316.28515625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17116,4122411239002253147,17116,302.57421875,66219,38769,18383,0,0,0,0,0,2346.7080078125,15317.1669921875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17117,4122411239002253147,17117,302.59088134765625,66219,38786,18383,0,0,0,0,0,2347.5927734375,15318.0517578125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17118,4122411239002253147,17118,302.6075439453125,66219,38803,18383,0,0,0,0,0,2348.48046875,15318.939453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17119,4122411239002253147,17119,302.6242370605469,66219,38819,18383,0,0,0,0,0,2349.3701171875,15319.8291015625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17123,4122411239002253147,17123,302.69097900390625,66219,38886,18383,0,0,0,0,0,2352.958984375,15323.41796875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17125,4122411239002253147,17125,302.724365234375,66219,38919,18383,0,0,0,0,0,2354.7705078125,15325.2294921875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17127,4122411239002253147,17127,302.7576904296875,66219,38953,18383,0,0,0,0,0,2356.58984375,15327.048828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17128,4122411239002253147,17128,302.77435302734375,66219,38969,18383,0,0,0,0,0,2357.50390625,15327.962890625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17131,4122411239002253147,17131,302.824462890625,66219,39020,18383,0,0,0,0,0,2360.2666015625,15330.7255859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17135,4122411239002253147,17135,302.8912048339844,66219,39086,18383,0,0,0,0,0,2363.98828125,15334.447265625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17136,4122411239002253147,17136,302.9078674316406,66219,39103,18383,0,0,0,0,0,2364.923828125,15335.3828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17137,4122411239002253147,17137,302.924560546875,66219,39120,18383,0,0,0,0,0,2365.8642578125,15336.3232421875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17138,4122411239002253147,17138,302.94122314453125,66219,39136,18383,0,0,0,0,0,2366.8056640625,15337.2646484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17139,4122411239002253147,17139,302.9579162597656,66219,39153,18383,0,0,0,0,0,2367.751953125,15338.2109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17143,4122411239002253147,17143,303.0246887207031,66219,39220,18383,0,0,0,0,0,2371.5654296875,15342.0244140625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17144,4122411239002253147,17144,303.0412902832031,66219,39236,18383,0,0,0,0,0,2372.5224609375,15342.9814453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17147,4122411239002253147,17147,303.09136962890625,66219,39287,18383,0,0,0,0,0,2375.421875,15345.880859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17149,4122411239002253147,17149,303.124755859375,66219,39320,18383,0,0,0,0,0,2377.365234375,15347.82421875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17150,4122411239002253147,17150,303.14141845703125,66219,39337,18383,0,0,0,0,0,2378.341796875,15348.80078125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17151,4122411239002253147,17151,303.15814208984375,66219,39353,18383,0,0,0,0,0,2379.322265625,15349.78125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17152,4122411239002253147,17152,303.1748046875,66219,39370,18383,0,0,0,0,0,2380.306640625,15350.765625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17153,4122411239002253147,17153,303.19146728515625,66219,39387,18383,0,0,0,0,0,2381.2939453125,15351.7529296875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17155,4122411239002253147,17155,303.2248840332031,66219,39420,18383,0,0,0,0,0,2383.2822265625,15353.7412109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17156,4122411239002253147,17156,303.24151611328125,66219,39437,18383,0,0,0,0,0,2384.2802734375,15354.7392578125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17159,4122411239002253147,17159,303.29156494140625,66219,39487,18383,0,0,0,0,0,2387.2958984375,15357.7548828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17165,4122411239002253147,17165,303.3916931152344,66219,39587,18383,0,0,0,0,0,2393.3740234375,15363.8330078125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
