m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_eventStringCode,m_eventDetails
156330,1978039479526609313,156330,2961.885986328125,BUTN,"{""buttonStatus"": 4160}"
156334,1978039479526609313,156334,2962.0859375,BUTN,"{""buttonStatus"": 4192}"
156343,1978039479526609313,156343,2962.536376953125,BUTN,"{""buttonStatus"": 4196}"
156345,1978039479526609313,156345,2962.63671875,BUTN,"{""buttonStatus"": 4192}"
156345,1978039479526609313,156345,2962.669921875,BUTN,"{""buttonStatus"": 4160}"
156362,1978039479526609313,156362,2963.504150390625,BUTN,"{""buttonStatus"": 4164}"
156364,1978039479526609313,156364,2963.604248046875,BUTN,"{""buttonStatus"": 4160}"
156371,1978039479526609313,156371,2963.97119140625,BUTN,"{""buttonStatus"": 4192}"
156382,1978039479526609313,156382,2964.505126953125,BUTN,"{""buttonStatus"": 4160}"
156390,1978039479526609313,156390,2964.8720703125,BUTN,"{""buttonStatus"": 4164}"
156392,1978039479526609313,156392,2965.005615234375,BUTN,"{""buttonStatus"": 4160}"
156422,1978039479526609313,156422,2966.507080078125,BUTN,"{""buttonStatus"": 4164}"
156424,1978039479526609313,156424,2966.59033203125,BUTN,"{""buttonStatus"": 4160}"
156431,1978039479526609313,156431,2966.924072265625,PENA,"{""penaltyType"": 12, ""infringementType"": 26, ""vehicleIdx"": 0, ""otherVehicleIdx"": 255, ""time"": 255, ""lapNum"": 12, ""placesGained"": 255}"
156437,1978039479526609313,156437,2967.240966796875,BUTN,"{""buttonStatus"": 4176}"
156440,1978039479526609313,156440,2967.37451171875,BUTN,"{""buttonStatus"": 6168}"
156441,1978039479526609313,156441,2967.424560546875,BUTN,"{""buttonStatus"": 2072}"
156442,1978039479526609313,156442,2967.4912109375,BUTN,"{""buttonStatus"": 2064}"
156444,1978039479526609313,156444,2967.608154296875,BUTN,"{""buttonStatus"": 2072}"
156446,1978039479526609313,156446,2967.6748046875,BUTN,"{""buttonStatus"": 2064}"
156452,1978039479526609313,156452,2967.975341796875,BUTN,"{""buttonStatus"": 2072}"
156454,1978039479526609313,156454,2968.108642578125,BUTN,"{""buttonStatus"": 2064}"
156456,1978039479526609313,156456,2968.17529296875,BUTN,"{""buttonStatus"": 16}"
156476,1978039479526609313,156476,2969.19287109375,BUTN,"{""buttonStatus"": 4112}"
156480,1978039479526609313,156480,2969.393310546875,BUTN,"{""buttonStatus"": 4176}"
156481,1978039479526609313,156481,2969.426513671875,BUTN,"{""buttonStatus"": 4112}"
156493,1978039479526609313,156493,2970.060546875,BUTN,"{""buttonStatus"": 4176}"
156506,1978039479526609313,156506,2970.677734375,BUTN,"{""buttonStatus"": 4160}"
156513,1978039479526609313,156513,2971.028076171875,BUTN,"{""buttonStatus"": 4164}"
156518,1978039479526609313,156518,2971.294921875,BUTN,"{""buttonStatus"": 4176}"
156521,1978039479526609313,156521,2971.445068359375,BUTN,"{""buttonStatus"": 4160}"
156541,1978039479526609313,156541,2972.462890625,BUTN,"{""buttonStatus"": 4164}"
156544,1978039479526609313,156544,2972.613037109375,BUTN,"{""buttonStatus"": 4160}"
156545,1978039479526609313,156545,2972.6630859375,BUTN,"{""buttonStatus"": 4176}"
156554,1978039479526609313,156554,2973.096923828125,BUTN,"{""buttonStatus"": 6232}"
156555,1978039479526609313,156555,2973.130126953125,BUTN,"{""buttonStatus"": 2136}"
156557,1978039479526609313,156557,2973.247314453125,BUTN,"{""buttonStatus"": 2128}"
156558,1978039479526609313,156558,2973.313720703125,BUTN,"{""buttonStatus"": 80}"
156570,1978039479526609313,156570,2973.8974609375,BUTN,"{""buttonStatus"": 4176}"
156583,1978039479526609313,156583,2974.531494140625,BUTN,"{""buttonStatus"": 4112}"
156586,1978039479526609313,156586,2974.681640625,BUTN,"{""buttonStatus"": 4176}"
156586,1978039479526609313,156586,2974.715087890625,BUTN,"{""buttonStatus"": 4112}"
156601,1978039479526609313,156601,2975.4658203125,BUTN,"{""buttonStatus"": 4176}"
156602,1978039479526609313,156602,2975.482421875,BUTN,"{""buttonStatus"": 4112}"
156603,1978039479526609313,156603,2975.532470703125,BUTN,"{""buttonStatus"": 4176}"
156608,1978039479526609313,156608,2975.816162109375,BUTN,"{""buttonStatus"": 4160}"
156612,1978039479526609313,156612,2975.98291015625,BUTN,"{""buttonStatus"": 4192}"
156619,1978039479526609313,156619,2976.349853515625,BUTN,"{""buttonStatus"": 4160}"
156619,1978039479526609313,156619,2976.36669921875,BUTN,"{""buttonStatus"": 4164}"
156622,1978039479526609313,156622,2976.4833984375,BUTN,"{""buttonStatus"": 4196}"
156622,1978039479526609313,156622,2976.500244140625,BUTN,"{""buttonStatus"": 4192}"
156627,1978039479526609313,156627,2976.733642578125,BUTN,"{""buttonStatus"": 4160}"
156634,1978039479526609313,156634,2977.083984375,BUTN,"{""buttonStatus"": 4192}"
156643,1978039479526609313,156643,2977.534423828125,BUTN,"{""buttonStatus"": 4160}"
156655,1978039479526609313,156655,2978.135009765625,BUTN,"{""buttonStatus"": 4164}"
156657,1978039479526609313,156657,2978.2353515625,BUTN,"{""buttonStatus"": 4160}"
156660,1978039479526609313,156660,2978.418701171875,BUTN,"{""buttonStatus"": 4192}"
156665,1978039479526609313,156665,2978.635498046875,BUTN,"{""buttonStatus"": 4160}"
156710,1978039479526609313,156710,2980.921142578125,BUTN,"{""buttonStatus"": 4164}"
156713,1978039479526609313,156713,2981.0546875,BUTN,"{""buttonStatus"": 4160}"
156752,1978039479526609313,156752,2982.97314453125,BUTN,"{""buttonStatus"": 4192}"
156758,1978039479526609313,156758,2983.306884765625,BUTN,"{""buttonStatus"": 6240}"
156759,1978039479526609313,156759,2983.340087890625,BUTN,"{""buttonStatus"": 6248}"
156760,1978039479526609313,156760,2983.39013671875,BUTN,"{""buttonStatus"": 2152}"
156761,1978039479526609313,156761,2983.456787109375,BUTN,"{""buttonStatus"": 2144}"
156763,1978039479526609313,156763,2983.55712890625,BUTN,"{""buttonStatus"": 2152}"
156765,1978039479526609313,156765,2983.623779296875,BUTN,"{""buttonStatus"": 2144}"
156767,1978039479526609313,156767,2983.723876953125,BUTN,"{""buttonStatus"": 2152}"
156768,1978039479526609313,156768,2983.807373046875,BUTN,"{""buttonStatus"": 2080}"
156769,1978039479526609313,156769,2983.823974609375,BUTN,"{""buttonStatus"": 32}"
156779,1978039479526609313,156779,2984.35791015625,BUTN,"{""buttonStatus"": 4128}"
156788,1978039479526609313,156788,2984.77490234375,BUTN,"{""buttonStatus"": 4192}"
156801,1978039479526609313,156801,2985.425537109375,BUTN,"{""buttonStatus"": 4160}"
156806,1978039479526609313,156806,2985.67578125,BUTN,"{""buttonStatus"": 4160}"
156822,1978039479526609313,156822,2986.4765625,BUTN,"{""buttonStatus"": 4192}"
156824,1978039479526609313,156824,2986.57666015625,BUTN,"{""buttonStatus"": 2088}"
156826,1978039479526609313,156826,2986.6767578125,BUTN,"{""buttonStatus"": 2080}"
156828,1978039479526609313,156828,2986.77685546875,BUTN,"{""buttonStatus"": 2088}"
156829,1978039479526609313,156829,2986.843505859375,BUTN,"{""buttonStatus"": 2080}"
156831,1978039479526609313,156831,2986.96044921875,BUTN,"{""buttonStatus"": 2088}"
