m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_tractionControl,m_antiLockBrakes,m_fuelMix,m_frontBrakeBias,m_pitLimiterStatus,m_fuelInTank,m_fuelCapacity,m_fuelRemainingLaps,m_maxRPM,m_idleRPM,m_maxGears,m_drsAllowed,m_drsActivationDistance,m_actualTyreCompound,m_visualTyreCompound,m_tyresAgeLaps,m_vehicleFiaFlags,m_enginePowerICE,m_enginePowerMGUK,m_ersStoreEnergy,m_ersDeployMode,m_ersHarvestedThisLapMGUK,m_ersHarvestedThisLapMGUH,m_ersDeployedThisLap,m_networkPaused
155822,1978039479526609313,155822,2936.505126953125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,599947.3125,83475.8125,4000000,2,0,0,0,0
155824,1978039479526609313,155824,2936.6181640625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,597880.3125,83475.8125,4000000,2,0,0,0,0
155832,1978039479526609313,155832,2937.016845703125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,590531.5625,83475.8125,4000000,2,0,0,0,0
155834,1978039479526609313,155834,2937.11572265625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,588806.875,83475.8125,4000000,2,0,0,0,0
155836,1978039479526609313,155836,2937.214599609375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,586958.5,83475.8125,4000000,2,0,0,0,0
155842,1978039479526609313,155842,2937.512939453125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,603622.1875,83475.8125,4000000,2,0,0,0,0
155844,1978039479526609313,155844,2937.612060546875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,603139.5625,83475.8125,4000000,2,0,0,0,0
155846,1978039479526609313,155846,2937.712158203125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,602655.5,83475.8125,4000000,2,0,0,0,0
155854,1978039479526609313,155854,2938.112548828125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600990.25,83475.8125,4000000,2,0,0,0,0
155856,1978039479526609313,155856,2938.212646484375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600672.6875,83475.8125,4000000,2,0,0,0,0
155858,1978039479526609313,155858,2938.312744140625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600324.9375,83475.8125,4000000,2,0,0,0,0
155860,1978039479526609313,155860,2938.412841796875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,599973.6875,83475.8125,4000000,2,0,0,0,0
155866,1978039479526609313,155866,2938.713134765625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,597227.3125,83475.8125,4000000,2,0,0,0,0
155874,1978039479526609313,155874,2939.113525390625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,593075.3125,83475.8125,4000000,2,0,0,0,0
155878,1978039479526609313,155878,2939.313720703125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,591225,83475.8125,4000000,2,0,0,0,0
155888,1978039479526609313,155888,2939.814208984375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,599931.25,83475.8125,4000000,2,0,0,0,0
155890,1978039479526609313,155890,2939.914306640625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601337.625,83475.8125,4000000,2,0,0,0,0
155892,1978039479526609313,155892,2940.014404296875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,602745.8125,83475.8125,4000000,2,0,0,0,0
155904,1978039479526609313,155904,2940.614990234375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,602555.0625,83475.8125,4000000,2,0,0,0,0
155908,1978039479526609313,155908,2940.815185546875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601966.875,83475.8125,4000000,2,0,0,0,0
155912,1978039479526609313,155912,2941.015380859375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601561,83475.8125,4000000,2,0,0,0,0
155922,1978039479526609313,155922,2941.515869140625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600949.25,83475.8125,4000000,2,0,0,0,0
155928,1978039479526609313,155928,2941.816162109375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600722.5,83475.8125,4000000,2,0,0,0,0
155930,1978039479526609313,155930,2941.916259765625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600732.125,83475.8125,4000000,2,0,0,0,0
155934,1978039479526609313,155934,2942.116455078125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600631.0625,83475.8125,4000000,2,0,0,0,0
155936,1978039479526609313,155936,2942.216552734375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600437.1875,83475.8125,4000000,2,0,0,0,0
155940,1978039479526609313,155940,2942.416748046875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600945.875,83475.8125,4000000,2,0,0,0,0
155942,1978039479526609313,155942,2942.516845703125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600428.8125,83475.8125,4000000,2,0,0,0,0
155948,1978039479526609313,155948,2942.8173828125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600983.4375,83475.8125,4000000,2,0,0,0,0
155958,1978039479526609313,155958,2943.317626953125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,584529.75,0,4000000,2,0,0,0,0
155960,1978039479526609313,155960,2943.41796875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,597916.8125,0,4000000,2,0,0,0,0
155964,1978039479526609313,155964,2943.617919921875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,591581.375,0,4000000,2,0,0,0,0
155970,1978039479526609313,155970,2943.918212890625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,594257.25,0,4000000,2,0,0,0,0
155974,1978039479526609313,155974,2944.118408203125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,573194.6875,0,4000000,2,0,0,0,0
155980,1978039479526609313,155980,2944.418701171875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,580239.25,0,4000000,2,0,0,0,0
155986,1978039479526609313,155986,2944.718994140625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,148,16,16,11,0,600672.0625,0,4000000,2,0,0,0,0
155988,1978039479526609313,155988,2944.819091796875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,144,16,16,11,0,551855.875,0,4000000,2,0,0,0,0
155994,1978039479526609313,155994,2945.119384765625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,135,16,16,11,0,382476.84375,0,4000000,2,0,0,0,0
156012,1978039479526609313,156012,2946.020263671875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,110,16,16,11,0,234683.3125,0,4000000,2,0,0,0,0
156014,1978039479526609313,156014,2946.120361328125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,108,16,16,11,0,226170.15625,0,4000000,2,0,0,0,0
156022,1978039479526609313,156022,2946.520751953125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,100,16,16,11,0,212938.109375,0,4000000,2,0,0,0,0
156030,1978039479526609313,156030,2946.921142578125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,93,16,16,11,0,230225.859375,0,4000000,2,0,0,0,0
156038,1978039479526609313,156038,2947.321533203125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,85,16,16,11,0,261599.578125,0,4000000,2,0,0,0,0
156040,1978039479526609313,156040,2947.421630859375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,83,16,16,11,0,279187.53125,0,4000000,2,0,0,0,0
156042,1978039479526609313,156042,2947.521728515625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,81,16,16,11,0,301402.65625,0,4000000,2,0,0,0,0
156046,1978039479526609313,156046,2947.721923828125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,76,16,16,11,0,367503.9375,0,4000000,2,0,0,0,0
156050,1978039479526609313,156050,2947.922119140625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,72,16,16,11,0,460741.5625,0,4000000,2,0,0,0,0
156052,1978039479526609313,156052,2948.005615234375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,69,16,16,11,0,507639.125,0,4000000,2,0,0,0,0
156054,1978039479526609313,156054,2948.122802734375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,66,16,16,11,0,532757.125,1011.9163818359375,4000000,2,0,0,0,0
156078,1978039479526609313,156078,2949.306884765625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,24,16,16,11,0,594827,34833.8203125,4000000,2,0,0,0,0
156084,1978039479526609313,156084,2949.607177734375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,11,16,16,11,0,597411.125,41789.16796875,4000000,2,0,0,0,0
156086,1978039479526609313,156086,2949.707275390625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,6,16,16,11,0,598216.4375,44637.52734375,4000000,2,0,0,0,0
156088,1978039479526609313,156088,2949.807373046875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,1,16,16,11,0,603263.4375,47364.83984375,4000000,2,0,0,0,0
156092,1978039479526609313,156092,2950.007568359375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,600319.75,52581.74609375,4000000,2,0,0,0,0
156094,1978039479526609313,156094,2950.107666015625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,597367.75,55074.125,4000000,2,0,0,0,0
156108,1978039479526609313,156108,2950.808349609375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,601757.1875,69915.734375,4000000,2,0,0,0,0
156116,1978039479526609313,156116,2951.208740234375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,594531.0625,77904.234375,4000000,2,0,0,0,0
156118,1978039479526609313,156118,2951.308837890625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,591503,79733.875,4000000,2,0,0,0,0
156120,1978039479526609313,156120,2951.408935546875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,588986.0625,81520.328125,4000000,2,0,0,0,0
156132,1978039479526609313,156132,2952.009521484375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,564374.125,83475.8125,4000000,2,0,0,0,0
156138,1978039479526609313,156138,2952.309814453125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,599211.1875,83475.8125,4000000,2,0,0,0,0
156140,1978039479526609313,156140,2952.409912109375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,597265.3125,83475.8125,4000000,2,0,0,0,0
156142,1978039479526609313,156142,2952.510009765625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,595481.875,83475.8125,4000000,2,0,0,0,0
156144,1978039479526609313,156144,2952.610107421875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,593240.6875,83475.8125,4000000,2,0,0,0,0
156148,1978039479526609313,156148,2952.810302734375,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,589286.875,83475.8125,4000000,2,0,0,0,0
156152,1978039479526609313,156152,2953.010498046875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,584648.9375,83475.8125,4000000,2,0,0,0,0
156154,1978039479526609313,156154,2953.110595703125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,581875.8125,83475.8203125,4000000,2,0,0,0,0
156160,1978039479526609313,156160,2953.410888671875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,602315.5,83475.8125,4000000,2,0,0,0,0
156162,1978039479526609313,156162,2953.510986328125,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601810.8125,83475.8203125,4000000,2,0,0,0,0
156166,1978039479526609313,156166,2953.711181640625,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600935.75,83475.8125,4000000,2,0,0,0,0
156168,1978039479526609313,156168,2953.811279296875,0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600587.1875,83475.8125,4000000,2,0,0,0,0
